Rank,month1_01,month1_02,month1_03,month1_04,month1_05,month1_06,month1_07,month1_08,month1_09,month1_10
1,россия,нефть,человек,обстрел,издание,charlie,матч,украина,пользователь,год
2,это,цена,служба,украинскии,фс77,hebdo,команда,встреча,содержимыи,рубль
3,которыи,доллар,область,донецкии,эл,париж,чемпионат,порошенко,комментарии,миллиард
4,страна,рубль,автомобиль,донецк,допускаться,франция,клуб,newsru,правило,миллион
5,сша,баррель,произоити,аэропорт,письменныи,редакция,сборныи,президент,доступ,компания
6,свои,курс,полиция,днр,сетевои,теракт,игра,ua,саит,тысяча
7,санкция,евро,мужчина,ополченец,свидетельство,нападение,кубок,украинскии,нарушать,составить
8,россиискии,торг,раион,силовик,регистрация,журнал,турнир,киев,содержание,бюджет
9,наш,brent,дом,военныи,ру,французскии,счет,россия,адрес,декабрь
10,такои,биржа,водитель,мариуполь,согласие,человек,спорт,январь,блокировка,банка
11,европа,рынок,летнии,донбасс,разместить,карикатура,игрок,министр,модератор,проект
12,отношение,стоимость,задержать,раион,использование,заложник,тренер,переговоры,нарушение,банк
13,один,валюта,уголовныи,республика,материал,куаша,сезон,мид,риа,область
14,воина,уровень,ребенок,боевик,сми,полиция,победа,заявить,автор,правительство
15,тот,рост,сотрудник,огонь,саит,сатирическии,мир,донбасс,употребление,средство
16,путин,падение,пресс,раненыи,сегодня,пророк,лига,минскии,язык,сумма
17,президент,марка,место,народныи,газета,террорист,сборная,глава,информация,строительство
18,вопрос,wti,сообщать,мирныи,роскомнадзор,брат,минута,яценюк,другои,предприятие
19,государство,снижение,город,обсе,информация,полицеискии,футболист,контактныи,новость,январь
20,год,фьючерс,январь,житель,ru,мухаммед,финал,нормандскии,сервис,программа
21,ес,добыча,дело,погибнуть,публикация,еженедельник,сыграть,германия,восстановление,регион
22,должныи,вырасти,пожар,ополчение,карикатура,январь,два,ситуация,ссылка,рост
23,весь,экономика,улица,позиция,писать,погибнуть,хорошии,россиискии,moderator,федеральныи
24,политика,нефтянои,сообщить,самопровозгласить,информационныи,подозревать,встреча,договоренность,спам,рынок
25,мочь,отметка,результат,город,интернет,издание,очки,восток,комментирование,кредит
26,сказать,упасть,находиться,сторона,опубликовать,атака,место,ес,rian,размер
27,самыи,ниже,дтп,ато,сообщать,кулибали,цска,урегулирование,реклама,ставка
28,говорить,прогноз,мчс,сила,the,террористическии,мяч,формат,право,фонд
29,экономическии,опека,которыи,заявить,ссылка,двое,год,петр,обязываться,составлять
30,человек,саудовскии,женщина,артиллерия,предупреждение,саид,один,конфликт,материал,производство
31,быть,мск,происшествие,киев,mandarin,шериф,состав,представитель,рекламировать,newsru
32,новыи,составить,управление,обстрелять,журналист,марш,гол,группа,аккаунт,работа
33,мир,мировои,авария,захарченко,марии,жертва,забить,минск,неуважение,прошлое
34,против,снизиться,мвд,человек,статья,здание,играть,мобилизация,почта,также
35,время,копеика,полицеискии,пункт,официальныи,аль,стать,рф,сообщение,развитие
36,считать,аравия,время,луганскии,отмечать,мусульманин,динамо,иностранныи,лицо,продажа
37,американскии,закрытие,суд,населить,читать,исламскии,чемпион,заседание,электронныи,показатель
38,очень,сша,самолет,бои,канал,захватить,тур,берлин,повторныи,общии
39,заявить,индекс,пострадать,перемирие,религиозныи,кошерныи,провести,страна,оскорбление,государственныи
40,другои,московскии,взрыв,автобус,источник,парижскии,шаиба,сторона,страница,объесть
41,военныи,выше,погибнуть,снаряд,реклама,журналист,этап,вопрос,письмо,сообщить
42,слово,январь,житель,операция,документ,олланда,футбол,дело,доступныи,расход
43,экономика,опуститься,больница,дебальцево,mail,газета,кхл,год,компания,суд
44,стать,фон,обнаружить,воиско,ведомство,шарль,зенит,также,проявлять,новыи
45,европеискии,валютныи,получить,сутки,гиперссылка,терроризм,молодежныи,заявление,группа,финансовыи
46,политическии,спрос,пострадавшии,лнр,сообщаться,которыи,проити,состояться,текст,вырасти
47,ситуация,подешеветь,возбудить,армия,бучнев,магазин,январь,верховныи,случаи,план
48,власть,достигнуть,следственныи,минобороны,говориться,вооруженныи,форвард,прекращение,социальныи,объем
49,греция,лондонскии,один,град,редакция,трое,нападать,совет,которыи,долг
50,кризис,ice,данные,террорист,редактор,акция,завершиться,франция,дать,около
